cpus=16
 search_disk_ind-5779  [015]  4621.267624: funcgraph_entry:      + 13.211 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.269103: funcgraph_entry:      + 10.460 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.270569: funcgraph_entry:        9.841 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.272157: funcgraph_entry:        9.952 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.273440: funcgraph_entry:        9.618 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.274911: funcgraph_entry:        9.907 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.276393: funcgraph_entry:        9.455 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.278008: funcgraph_entry:      + 10.162 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.279367: funcgraph_entry:      + 10.880 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.281007: funcgraph_entry:      + 10.422 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.282386: funcgraph_entry:      + 10.236 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.283995: funcgraph_entry:      + 10.444 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.285354: funcgraph_entry:        9.896 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.286983: funcgraph_entry:        9.972 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.288325: funcgraph_entry:        9.559 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.289899: funcgraph_entry:        9.951 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.291307: funcgraph_entry:        9.844 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.293020: funcgraph_entry:        9.834 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.294254: funcgraph_entry:      + 10.143 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.295752: funcgraph_entry:        9.828 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.297218: funcgraph_entry:      + 10.410 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.298723: funcgraph_entry:        9.717 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.300209: funcgraph_entry:        9.903 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.301685: funcgraph_entry:        9.918 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.303178: funcgraph_entry:        9.865 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.304686: funcgraph_entry:        9.994 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.306142: funcgraph_entry:      + 10.003 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.307655: funcgraph_entry:        9.467 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.309204: funcgraph_entry:        9.606 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.310539: funcgraph_entry:        9.517 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.312109: funcgraph_entry:        9.907 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.313677: funcgraph_entry:        9.925 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.315125: funcgraph_entry:        9.730 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.316614: funcgraph_entry:      + 10.200 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.318125: funcgraph_entry:        9.803 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.319627: funcgraph_entry:      + 12.243 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.321118: funcgraph_entry:      + 10.526 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.322545: funcgraph_entry:      + 10.122 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.324081: funcgraph_entry:      + 10.550 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.325587: funcgraph_entry:      + 10.310 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.327106: funcgraph_entry:        9.726 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.328587: funcgraph_entry:      + 10.065 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.330088: funcgraph_entry:        9.675 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.331600: funcgraph_entry:      + 10.127 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.333082: funcgraph_entry:      + 10.007 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.334458: funcgraph_entry:      + 10.020 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.336017: funcgraph_entry:      + 11.248 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.337401: funcgraph_entry:        9.714 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.338984: funcgraph_entry:      + 10.800 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.340385: funcgraph_entry:      + 10.614 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.341983: funcgraph_entry:      + 10.065 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.343352: funcgraph_entry:        9.972 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.344863: funcgraph_entry:        9.639 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.346254: funcgraph_entry:      + 20.692 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.347854: funcgraph_entry:      + 10.440 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.349223: funcgraph_entry:        9.754 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.350798: funcgraph_entry:      + 10.109 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.352218: funcgraph_entry:      + 10.196 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.353791: funcgraph_entry:      + 10.845 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.355281: funcgraph_entry:        9.827 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.356734: funcgraph_entry:        9.694 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.358253: funcgraph_entry:      + 19.483 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.359588: funcgraph_entry:        5.509 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.359838: funcgraph_entry:        7.402 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.361301: funcgraph_entry:      + 10.218 us  |  blk_mq_complete_request();
